Year,Indicator,Value
2023,"Access to electricity, rural (% of rural population)",100.0
2022,"Access to electricity, rural (% of rural population)",100.0
2021,"Access to electricity, rural (% of rural population)",100.0
2020,"Access to electricity, rural (% of rural population)",100.0
2019,"Access to electricity, rural (% of rural population)",99.7
2018,"Access to electricity, rural (% of rural population)",99.5
2017,"Access to electricity, rural (% of rural population)",96.9
2016,"Access to electricity, rural (% of rural population)",97.2
2015,"Access to electricity, rural (% of rural population)",93.2
2014,"Access to electricity, rural (% of rural population)",91.3
2013,"Access to electricity, rural (% of rural population)",88.5
2012,"Access to electricity, rural (% of rural population)",84.7
2011,"Access to electricity, rural (% of rural population)",85.7
2010,"Access to electricity, rural (% of rural population)",83.0
2009,"Access to electricity, rural (% of rural population)",85.2
2008,"Access to electricity, rural (% of rural population)",80.3
2007,"Access to electricity, rural (% of rural population)",76.6
2006,"Access to electricity, rural (% of rural population)",79.3
2005,"Access to electricity, rural (% of rural population)",75.0
2004,"Access to electricity, rural (% of rural population)",73.2
2003,"Access to electricity, rural (% of rural population)",71.5
2002,"Access to electricity, rural (% of rural population)",78.3
2001,"Access to electricity, rural (% of rural population)",58.7
2000,"Access to electricity, rural (% of rural population)",66.2
2023,"Access to electricity, urban (% of urban population)",100.0
2022,"Access to electricity, urban (% of urban population)",100.0
2021,"Access to electricity, urban (% of urban population)",100.0
2020,"Access to electricity, urban (% of urban population)",100.0
2019,"Access to electricity, urban (% of urban population)",100.0
2018,"Access to electricity, urban (% of urban population)",100.0
2017,"Access to electricity, urban (% of urban population)",100.0
2016,"Access to electricity, urban (% of urban population)",99.0
2015,"Access to electricity, urban (% of urban population)",99.6
2014,"Access to electricity, urban (% of urban population)",98.8
2013,"Access to electricity, urban (% of urban population)",98.0
2012,"Access to electricity, urban (% of urban population)",97.3
2011,"Access to electricity, urban (% of urban population)",96.8
2010,"Access to electricity, urban (% of urban population)",95.6
2009,"Access to electricity, urban (% of urban population)",95.6
2008,"Access to electricity, urban (% of urban population)",94.2
2007,"Access to electricity, urban (% of urban population)",95.3
2006,"Access to electricity, urban (% of urban population)",94.4
2005,"Access to electricity, urban (% of urban population)",92.0
2004,"Access to electricity, urban (% of urban population)",91.3
2003,"Access to electricity, urban (% of urban population)",90.6
2002,"Access to electricity, urban (% of urban population)",91.3
2001,"Access to electricity, urban (% of urban population)",85.3
2000,"Access to electricity, urban (% of urban population)",88.7
2023,Access to electricity (% of population),100.0
2022,Access to electricity (% of population),100.0
2021,Access to electricity (% of population),100.0
2020,Access to electricity (% of population),100.0
2019,Access to electricity (% of population),99.8
2018,Access to electricity (% of population),99.6
2017,Access to electricity (% of population),97.5
2016,Access to electricity (% of population),97.5
2015,Access to electricity (% of population),94.3
2014,Access to electricity (% of population),92.7
2013,Access to electricity (% of population),90.2
2012,Access to electricity (% of population),87.0
2011,Access to electricity (% of population),87.8
2010,Access to electricity (% of population),85.3
2009,Access to electricity (% of population),87.1
2008,Access to electricity (% of population),82.9
2007,Access to electricity (% of population),80.0
2006,Access to electricity (% of population),82.1
2005,Access to electricity (% of population),78.1
2004,Access to electricity (% of population),76.5
2003,Access to electricity (% of population),75.0
